,fips,POPESTIMATE2019,school_closure_date
0,1001,55869,
1,1003,223234,
2,1005,24686,
3,1007,22394,
4,1009,57826,
5,1011,10101,
6,1013,19448,
7,1015,113605,
8,1017,33254,2020-03-20
9,1019,26196,
10,1021,44428,
11,1023,12589,
12,1025,23622,
13,1027,13235,
14,1029,14910,
15,1031,52342,
16,1033,55241,
17,1035,12067,
18,1037,10663,
19,1039,37049,
20,1041,13772,
21,1043,83768,
22,1045,49172,
23,1047,37196,
24,1049,71513,
25,1051,81209,
26,1053,36633,
27,1055,102268,
28,1057,16302,
29,1059,31362,
30,1061,26271,
31,1063,8111,
32,1065,14651,
33,1067,17205,
34,1069,105882,
35,1071,51626,
36,1073,658573,2020-03-16
37,1075,13805,
38,1077,92729,
39,1079,32924,
40,1081,164542,2020-03-16
41,1083,98915,
42,1085,9726,
43,1087,18068,
44,1089,372909,2020-03-16
45,1091,18863,
46,1093,29709,
47,1095,96774,
48,1097,413210,2020-03-17
49,1099,20733,
50,1101,226486,
51,1103,119679,
52,1105,8923,
53,1107,19930,
54,1109,33114,
55,1111,22722,
56,1113,57961,
57,1115,89512,
58,1117,217702,2020-03-16
59,1119,12427,
60,1121,79978,
61,1123,40367,
62,1125,209355,
63,1127,63521,
64,1129,16326,
65,1131,10373,
66,1133,23629,
67,2013,3337,
68,2016,5634,
69,2020,288000,2020-03-16
70,2050,18386,
71,2060,836,
72,2068,2097,
73,2070,4916,
74,2090,96849,
75,2100,2530,
76,2105,2148,
77,2110,31974,
78,2122,58708,
79,2130,13901,
80,2150,12998,
81,2158,8314,
82,2164,1592,
83,2170,108317,
84,2180,10004,
85,2185,9832,
86,2188,7621,
87,2195,3266,
88,2198,6203,
89,2220,8493,
90,2230,1183,
91,2240,6893,
92,2261,9202,
93,2275,2502,
94,2282,579,
95,2290,5230,
96,4001,71887,
97,4003,125922,
98,4005,143476,2020-03-15
99,4007,54018,
100,4009,38837,
101,4011,9498,
102,4012,21108,
103,4013,4485414,2020-03-15
104,4015,212181,
105,4017,110924,2020-03-15
106,4019,1047279,2020-03-15
107,4021,462789,2020-03-15
108,4023,46498,
109,4025,235099,
110,4027,213787,
111,5001,17486,
112,5003,19657,
113,5005,41932,
114,5007,279141,
115,5009,37432,
116,5011,10763,
117,5013,5189,
118,5015,28380,
119,5017,10118,
120,5019,22320,
121,5021,14551,
122,5023,24919,
123,5025,7956,
124,5027,23457,
125,5029,20846,
126,5031,110332,
127,5033,63257,
128,5035,47955,
129,5037,16419,
130,5039,7009,
131,5041,11361,
132,5043,18219,
133,5045,126007,
134,5047,17715,
135,5049,12477,
136,5051,99386,
137,5053,18265,
138,5055,45325,
139,5057,21532,
140,5059,33771,
141,5061,13202,
142,5063,37825,
143,5065,13629,
144,5067,16719,
145,5069,66824,
146,5071,26578,
147,5073,6624,
148,5075,16406,
149,5077,8857,
150,5079,13024,
151,5081,12259,
152,5083,21466,
